code,region_l2,division,River flood,Urban flood,Coastal flood,Earthquake,Landslide,Tsunami,Volcano,Cyclone,Water scarcity,Extreme heat,Wildfire,Data_Type,Synthetic_Seed_Code
17855,Rajasthan,Pali,Low,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70240,Rajasthan,Rajsamand,Very low,Low,,Medium,Low,,,Very low,High,High,High,Original,
17856,Rajasthan,Sawai Madhopur,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
17857,Rajasthan,Sikar,Very low,Very low,,Medium,Very low,,,Low,High,High,High,Original,
17858,Rajasthan,Sirohi,Very low,Low,,Medium,Low,,,Low,High,High,High,Original,
17859,Rajasthan,Tonk,Low,Low,,Medium,Very low,,,Low,High,High,High,Original,
17860,Rajasthan,Udaipur,Very low,Low,,Medium,Low,,,Low,High,High,High,Original,
17861,Sikkim,East,Very low,Medium,,Medium,High,,,Very low,Medium,Medium,High,Original,
17862,Sikkim,North Sikkim,Very low,Very low,,Medium,High,,,Low,Medium,Low,High,Original,
17863,Sikkim,South Sikkim,Very low,High,,Medium,High,,,Very low,Medium,Medium,High,Original,
17864,Sikkim,West Sikkim,Very low,Very low,,Medium,High,,,Very low,Medium,Medium,High,Original,
70241,Tamil Nadu,Ariyalur,Medium,Low,,Medium,Very low,,,High,High,High,High,Original,
70242,Tamil Nadu,Chennai,Medium,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17867,Tamil Nadu,Coimbatore,Low,Low,,Medium,Low,,,High,Medium,High,High,Original,
70243,Tamil Nadu,Cuddalore,High,Medium,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17868,Tamil Nadu,Dharmapuri,Low,Low,,Medium,Low,,,High,High,High,High,Original,
17877,Tamil Nadu,Dindigul,Low,Low,,Medium,Medium,,,High,Medium,High,High,Original,
17875,Tamil Nadu,Erode,Low,Low,,Medium,Low,,,High,Medium,High,High,Original,
70244,Tamil Nadu,Kancheepuram,High,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
17870,Tamil Nadu,Kanniyakumari,Low,Low,Medium,Medium,Medium,Medium,,High,Low,Medium,High,Original,
70245,Tamil Nadu,Karur,Medium,Low,,Medium,Very low,,,High,Medium,High,High,Original,
70246,Tamil Nadu,Madurai,Medium,Low,,Medium,Low,,,High,Low,High,High,Original,
70247,Tamil Nadu,Nagapattinam,High,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
70248,Tamil Nadu,Namakkal,Medium,Low,,Medium,Low,,,High,High,High,High,Original,
17873,Tamil Nadu,Nilgiris,Very low,Very low,,Medium,High,,,High,Medium,Medium,High,Original,
70249,Tamil Nadu,Perambalur,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17876,Tamil Nadu,Pudukkottai,Medium,Low,Medium,Medium,Very low,Medium,,High,Medium,High,High,Original,
17878,Tamil Nadu,Ramanathapuram,Medium,Low,High,Medium,Very low,Medium,,High,Low,High,High,Original,
17879,Tamil Nadu,Salem,Low,Low,,Medium,Medium,,,High,High,High,High,Original,
17882,Tamil Nadu,Sivaganga,Medium,Low,Medium,Medium,Very low,,,High,Low,High,High,Original,
17881,Tamil Nadu,Thanjavur,Medium,Low,High,Medium,Very low,Medium,,High,Medium,High,High,Original,
70250,Tamil Nadu,Theni,Low,Medium,,Medium,Medium,,,High,Low,Medium,High,Original,
70251,Tamil Nadu,Thiruvallur,Medium,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17866,Tamil Nadu,Thoothukudi,Medium,Low,Medium,Medium,Very low,Medium,,High,Low,High,High,Original,
17883,Tamil Nadu,Tiruchchirappalli,High,Medium,,Medium,Very low,,,High,High,High,High,Original,
17884,Tamil Nadu,Tirunelveli Kattabo,Low,Low,Medium,Medium,Low,Medium,,High,Low,High,High,Original,
70253,Tamil Nadu,Tiruvannamalai,Medium,Low,,Medium,Low,,,High,High,High,High,Original,
70254,Tamil Nadu,Vellore,Medium,Low,,Medium,Low,,,High,High,High,High,Original,
70255,Tamil Nadu,Villupuram,Medium,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17869,Tamil Nadu,Virudhunagar,Medium,Low,,Medium,Very low,,,High,Low,High,High,Original,
70256,Tripura,Dhalai,Low,High,,Medium,Medium,,,High,Medium,High,High,Original,
17885,Tripura,North Tripura,High,High,,Medium,Medium,,,High,Medium,High,High,Original,
17886,Tripura,South Tripura,High,High,,Medium,Medium,,,High,Medium,High,High,Original,
17887,Tripura,West Tripura,Medium,High,,Medium,Low,,,High,Medium,High,High,Original,
17888,Uttar Pradesh,Agra,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17889,Uttar Pradesh,Aligarh,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17890,Uttar Pradesh,Allahabad,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
70257,Uttar Pradesh,Ambedkar Nagar,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
70258,Uttar Pradesh,Auraiya,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17892,Uttar Pradesh,Azamgarh,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
70259,Uttar Pradesh,Badaun,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
70260,Uttar Pradesh,Baghpat,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17893,Uttar Pradesh,Bahraich,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17894,Uttar Pradesh,Ballia,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70261,Uttar Pradesh,Balrampur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17895,Uttar Pradesh,Banda,Medium,Very low,,Medium,Very low,,,Low,High,High,High,Original,
17896,Uttar Pradesh,Bara Banki,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17897,Uttar Pradesh,Bareilly,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17898,Uttar Pradesh,Basti,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17899,Uttar Pradesh,Bijnor,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17901,Uttar Pradesh,Bulandshahr,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70262,Uttar Pradesh,Chandauli,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70263,Uttar Pradesh,Chitrakoot,Low,Low,,Medium,Very low,,,Low,High,High,High,Original,
17904,Uttar Pradesh,Deoria,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17905,Uttar Pradesh,Etah,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17906,Uttar Pradesh,Etawah,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17907,Uttar Pradesh,Faizabad,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
17908,Uttar Pradesh,Farrukhabad,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17909,Uttar Pradesh,Fatehpur,Medium,Very low,,Medium,Very low,,,Low,High,High,High,Original,
70264,Uttar Pradesh,Firozabad,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70265,Uttar Pradesh,Gautam Buddha Nagar,High,High,,Medium,Very low,,,Very low,High,High,High,Original,
17911,Uttar Pradesh,Ghaziabad,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17912,Uttar Pradesh,Ghazipur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17913,Uttar Pradesh,Gonda,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17914,Uttar Pradesh,Gorakhpur,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17915,Uttar Pradesh,Hamirpur,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17916,Uttar Pradesh,Hardoi,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70266,Uttar Pradesh,Hathras,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17917,Uttar Pradesh,Jalaun,Medium,Very low,,Medium,Very low,,,Low,High,High,High,Original,
17918,Uttar Pradesh,Jaunpur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17919,Uttar Pradesh,Jhansi,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
70267,Uttar Pradesh,Jyotiba Phule Nagar,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70268,Uttar Pradesh,Kannauj,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17920,Uttar Pradesh,Kanpur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70269,Uttar Pradesh,Kanpur Dehat,High,Very low,,Medium,Very low,,,Low,High,High,High,Original,
70270,Uttar Pradesh,Kaushambi,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
70271,Uttar Pradesh,Kushinagar,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17921,Uttar Pradesh,Lakhimpur Kheri,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17922,Uttar Pradesh,Lalitpur,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
17923,Uttar Pradesh,Lucknow,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
70272,Uttar Pradesh,Maharajganj,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
70273,Uttar Pradesh,Mahoba,Low,Very low,,Medium,Very low,,,Low,High,High,High,Original,
17924,Uttar Pradesh,Mainpuri,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17925,Uttar Pradesh,Mathura,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70274,Uttar Pradesh,Mau,High,High,,Medium,Very low,,,Very low,High,High,High,Original,
17926,Uttar Pradesh,Meerut,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17927,Uttar Pradesh,Mirzapur,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17928,Uttar Pradesh,Moradabad,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17929,Uttar Pradesh,Muzaffarnagar,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17931,Uttar Pradesh,Pilibhit,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17933,Uttar Pradesh,Pratapgarh,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17934,Uttar Pradesh,Rae Bareli,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17935,Uttar Pradesh,Rampur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17936,Uttar Pradesh,Saharanpur,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
70275,Uttar Pradesh,Sant Kabir Nagar,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
70276,Uttar Pradesh,Sant Ravi Das Nagar,Medium,Very low,,Medium,Very low,,,Very low,High,High,High,Original,
17937,Uttar Pradesh,Shahjahanpur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70277,Uttar Pradesh,Shravasti,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70278,Uttar Pradesh,Siddharth Nagar,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17938,Uttar Pradesh,Sitapur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70279,Uttar Pradesh,Sonbhadra,Low,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17939,Uttar Pradesh,Sultanpur,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
17941,Uttar Pradesh,Unnao,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17943,Uttar Pradesh,Varanasi,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70280,Uttarakhand,Almora,Very low,Low,,Medium,High,,,Very low,Low,Medium,High,Original,
70281,Uttarakhand,Bageshwar,Very low,Medium,,Medium,High,,,Very low,Low,Medium,High,Original,
70282,Uttarakhand,Chamoli,Very low,Medium,,Medium,High,,,Very low,Low,Low,High,Original,
70283,Uttarakhand,Champawat,Very low,Low,,Medium,High,,,Very low,Low,Medium,High,Original,
17903,Uttarakhand,Dehra Dun,Low,Low,,Medium,High,,,Very low,High,High,High,Original,
70284,Uttarakhand,Haridwar,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70285,Uttarakhand,Naini Tal,Very low,Low,,Medium,High,,,Very low,High,High,High,Original,
17910,Uttarakhand,Pauri Garhwal,Low,High,,Medium,High,,,Very low,High,High,High,Original,
17932,Uttarakhand,Pithoragarh,Very low,Low,,Medium,High,,,Very low,Low,Medium,High,Original,
70286,Uttarakhand,Rudra Prayag,Very low,Medium,,Medium,High,,,Very low,Low,Medium,High,Original,
70287,Uttarakhand,Tehri Garhwal,Very low,Very low,,Medium,High,,,Very low,Low,High,High,Original,
70288,Uttarakhand,Udham Singh Nagar,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70289,Uttarakhand,Uttarkashi,Very low,High,,Medium,High,,,Very low,Medium,Low,High,Original,
17945,West Bengal,Bankura,Medium,Low,,Medium,Very low,,,High,Medium,High,High,Original,
17946,West Bengal,Barddhaman,High,Medium,,Medium,Very low,,,High,Medium,High,High,Original,
17947,West Bengal,Birbhum,High,Medium,,Medium,Very low,,,High,Medium,High,High,Original,
70290,West Bengal,Dakshin Dinajpur,High,High,,Medium,Very low,,,High,Medium,High,High,Original,
17948,West Bengal,Darjiling,Very low,Medium,,Medium,High,,,Very low,High,High,High,Original,
70291,West Bengal,East Midnapore,High,High,High,Medium,Very low,Medium,,High,Medium,High,High,Original,
17949,West Bengal,Haora,High,High,High,Medium,Very low,Medium,,High,Medium,High,High,Original,
17950,West Bengal,Hugli,High,Medium,,Medium,Very low,,,High,Medium,High,High,Original,
17951,West Bengal,Jalpaiguri,High,Medium,,Medium,Very low,,,Low,Medium,High,High,Original,
17952,West Bengal,Kochbihar,High,High,,Medium,Very low,,,Low,Medium,High,High,Original,
70292,West Bengal,Kolkata,Medium,Low,,Medium,Very low,,,High,Medium,High,High,Original,
17953,West Bengal,Maldah,High,Low,,Medium,Very low,,,High,High,High,High,Original,
17955,West Bengal,Murshidabad,High,Low,,Medium,Very low,,,High,Medium,High,High,Original,
17956,West Bengal,Nadia,High,Medium,,Medium,Very low,,,High,Medium,High,High,Original,
70293,West Bengal,North 24 Parganas,High,Medium,High,Medium,Very low,Medium,,High,Medium,High,High,Original,
17957,West Bengal,Puruliya,Low,Low,,Medium,Very low,,,High,Medium,High,High,Original,
70294,West Bengal,South 24 Parganas,High,Medium,High,Medium,Very low,Medium,,High,Medium,High,High,Original,
70295,West Bengal,Uttar Dinajpur,High,Medium,,Medium,Very low,,,Medium,High,High,High,Original,
70296,West Bengal,West Midnapore,High,Medium,Medium,Medium,Very low,,,High,Medium,High,High,Original,
SYN000001,Synthetic Region 001,Synthetic Division 01,Medium,High,Medium,Medium,Low,Very low,,Very low,Very low,High,High,Synthetic,17578
SYN000002,Synthetic Region 001,Synthetic Division 01,Medium,Medium,Low,Medium,Very low,Very low,,High,Very high,Medium,High,Synthetic,17883
SYN000003,Synthetic Region 001,Synthetic Division 01,Low,Very low,,High,Very low,Very low,,Low,High,Very high,High,Synthetic,70273
SYN000004,Synthetic Region 001,Synthetic Division 01,Very low,Low,Medium,Medium,High,Medium,,Very high,Very low,Medium,High,Synthetic,17870
SYN000005,Synthetic Region 001,Synthetic Division 01,Very low,Very low,Low,Medium,Very high,,,,Very low,,Low,Synthetic,17573
SYN000006,Synthetic Region 001,Synthetic Division 01,Medium,Low,,Low,Very low,,,Medium,Low,High,Medium,Synthetic,17869
SYN000007,Synthetic Region 001,Synthetic Division 01,Very low,Medium,,Medium,Very high,,,Very low,Medium,Medium,High,Synthetic,17861
SYN000008,Synthetic Region 001,Synthetic Division 01,Medium,Medium,Very low,Low,Very low,Medium,Low,Low,High,High,Medium,Synthetic,17844
SYN000009,Synthetic Region 001,Synthetic Division 01,Very high,Medium,Very low,Medium,Very low,,,Low,High,Medium,Very high,Synthetic,17892
SYN000010,Synthetic Region 001,Synthetic Division 01,Medium,Medium,Medium,Medium,Low,Low,,High,Medium,Very high,High,Synthetic,17566
SYN000011,Synthetic Region 001,Synthetic Division 01,Very low,,,,Medium,,,,Low,,,Synthetic,72795
SYN000012,Synthetic Region 001,Synthetic Division 01,Low,Medium,Very low,High,Very low,,Low,Medium,Medium,Medium,Very high,Synthetic,17782
SYN000013,Synthetic Region 001,Synthetic Division 01,Low,Low,Low,Low,Very low,,,Low,Medium,Medium,Medium,Synthetic,17735
SYN000014,Synthetic Region 001,Synthetic Division 01,High,High,,Medium,Low,,,Very low,Low,Very high,High,Synthetic,17580
SYN000015,Synthetic Region 001,Synthetic Division 01,Medium,Low,Very low,Medium,Very low,,,Very low,High,High,High,Synthetic,70262
SYN000016,Synthetic Region 001,Synthetic Division 01,Very low,Low,,Low,Low,,,Low,Medium,High,Very high,Synthetic,70172
SYN000017,Synthetic Region 001,Synthetic Division 01,Low,Low,High,High,High,Medium,Very low,High,Very low,High,Very high,Synthetic,70183
SYN000018,Synthetic Region 001,Synthetic Division 01,Low,Very low,,Medium,Low,,Medium,High,Medium,High,Medium,Synthetic,70147
SYN000019,Synthetic Region 001,Synthetic Division 01,Medium,Medium,,Medium,Very low,Very low,,High,Medium,High,High,Synthetic,17679
SYN000020,Synthetic Region 001,Synthetic Division 01,Very low,High,,Low,Very high,Medium,,Very low,Medium,Medium,High,Synthetic,17863
SYN000021,Synthetic Region 001,Synthetic Division 01,Low,Very low,,Medium,Very low,Medium,,Low,High,Very high,Very high,Synthetic,17742
SYN000022,Synthetic Region 001,Synthetic Division 01,Low,Very low,,Medium,Low,,,Low,High,Very high,High,Synthetic,70237
SYN000023,Synthetic Region 001,Synthetic Division 01,Medium,Low,,Medium,Low,,Low,Very low,High,High,High,Synthetic,70171
SYN000024,Synthetic Region 001,Synthetic Division 01,Very low,Low,High,Medium,Very low,,,High,High,High,High,Synthetic,17647
SYN000025,Synthetic Region 001,Synthetic Division 01,High,High,Medium,Medium,,Low,,Very high,Medium,High,High,Synthetic,17699
SYN000026,Synthetic Region 002,Synthetic Division 01,Low,Very low,Very low,Medium,Low,Very low,,High,Low,High,High,Synthetic,70208
SYN000027,Synthetic Region 002,Synthetic Division 01,Medium,Low,High,Medium,Very low,,,Medium,Medium,Medium,High,Synthetic,70124
SYN000028,Synthetic Region 002,Synthetic Division 01,High,,,Medium,High,,Low,Low,Low,Low,,Synthetic,72808
SYN000029,Synthetic Region 002,Synthetic Division 01,Low,Low,Medium,Medium,Very low,,Low,Very high,Medium,High,High,Synthetic,17882
SYN000030,Synthetic Region 002,Synthetic Division 01,High,Low,Medium,Low,Very low,,,Medium,High,High,High,Synthetic,70129
SYN000031,Synthetic Region 002,Synthetic Division 01,Very low,Low,,Medium,Very high,,,Very low,Low,Low,,Synthetic,72838
SYN000032,Synthetic Region 002,Synthetic Division 01,Medium,Low,,Medium,Medium,Medium,Very low,Medium,High,High,High,Synthetic,17879
SYN000033,Synthetic Region 002,Synthetic Division 01,Low,Low,,Low,Medium,Very low,,Medium,High,High,High,Synthetic,17773
SYN000034,Synthetic Region 002,Synthetic Division 01,Very high,High,,Low,Very low,,,Very low,Medium,Medium,High,Synthetic,17892
SYN000035,Synthetic Region 002,Synthetic Division 01,High,Medium,Low,Low,Very low,Very low,,Low,High,High,High,Synthetic,70236
SYN000036,Synthetic Region 002,Synthetic Division 01,High,Medium,,Medium,Very low,Low,,High,High,Medium,Very high,Synthetic,70154
SYN000037,Synthetic Region 002,Synthetic Division 01,High,High,Medium,Medium,Low,,,Low,High,Medium,High,Synthetic,70275
SYN000038,Synthetic Region 002,Synthetic Division 01,Very high,Very low,Very low,Medium,Low,,,Low,High,Very high,High,Synthetic,17931
SYN000039,Synthetic Region 002,Synthetic Division 01,Low,Low,,Low,Low,Very low,Low,Very low,Low,Very high,Medium,Synthetic,17716
SYN000040,Synthetic Region 002,Synthetic Division 01,Medium,Low,,High,Low,,,Very low,High,High,High,Synthetic,70098
SYN000041,Synthetic Region 002,Synthetic Division 01,Medium,High,,Medium,Very low,Medium,,Very low,Very low,Very high,High,Synthetic,17582
SYN000042,Synthetic Region 002,Synthetic Division 01,High,Low,Very low,Medium,Very low,High,,High,Very high,Medium,High,Synthetic,17552
SYN000043,Synthetic Region 002,Synthetic Division 01,High,High,,Medium,Low,Very low,,Low,Very low,Medium,Medium,Synthetic,17582
SYN000044,Synthetic Region 002,Synthetic Division 01,Very low,Low,,High,High,,,Very low,Medium,High,Very high,Synthetic,17675
SYN000045,Synthetic Region 002,Synthetic Division 01,High,Low,Low,Medium,Very low,Low,,Very low,Medium,High,High,Synthetic,70132
SYN000046,Synthetic Region 002,Synthetic Division 01,High,High,,Medium,Very low,Low,Low,Low,High,High,High,Synthetic,70102
SYN000047,Synthetic Region 002,Synthetic Division 01,Medium,Very low,,Low,Very low,,Low,Low,Very high,High,Very high,Synthetic,17849
SYN000048,Synthetic Region 002,Synthetic Division 01,High,Medium,High,Medium,Very low,Low,,High,Medium,High,High,Synthetic,70293
SYN000049,Synthetic Region 002,Synthetic Division 01,Medium,Medium,,Medium,Low,,,High,Very low,High,High,Synthetic,70246
SYN000050,Synthetic Region 002,Synthetic Division 01,Medium,Low,Low,Medium,Very low,Low,Very low,Medium,Low,Medium,Medium,Synthetic,70298
SYN000051,Synthetic Region 003,Synthetic Division 01,Very low,Low,,Low,Very low,,,Low,Very high,High,High,Synthetic,17840
SYN000052,Synthetic Region 003,Synthetic Division 01,Medium,Very low,Low,Medium,Very low,,,High,Medium,High,High,Synthetic,17780
SYN000053,Synthetic Region 003,Synthetic Division 01,Very low,Medium,Medium,Medium,High,,Low,Medium,Medium,Medium,High,Synthetic,17794
SYN000054,Synthetic Region 003,Synthetic Division 01,Low,Very low,,Medium,Very low,,,Medium,Very high,High,High,Synthetic,17568
SYN000055,Synthetic Region 003,Synthetic Division 01,Very high,Low,,Medium,Low,,,Low,Medium,High,High,Synthetic,70104
SYN000056,Synthetic Region 003,Synthetic Division 01,High,Low,High,Low,Very low,Medium,,Medium,High,High,High,Synthetic,17556
SYN000057,Synthetic Region 003,Synthetic Division 01,Very low,,Very low,Low,Very high,,,,Low,Very low,Low,Synthetic,72830
SYN000058,Synthetic Region 003,Synthetic Division 01,Very low,Medium,,Medium,High,,,Very low,High,Very high,High,Synthetic,17948
SYN000059,Synthetic Region 003,Synthetic Division 01,Medium,Low,,High,Low,Low,,Very high,Medium,Very high,High,Synthetic,70253
SYN000060,Synthetic Region 003,Synthetic Division 01,Very low,,,,High,,,,Very low,,,Synthetic,72849
SYN000061,Synthetic Region 003,Synthetic Division 01,Very low,Low,,Medium,Low,Low,,High,High,Medium,High,Synthetic,70185
SYN000062,Synthetic Region 003,Synthetic Division 01,Very low,Very low,,Low,Medium,,,Very low,Low,Very low,Very low,Synthetic,72805
SYN000063,Synthetic Region 003,Synthetic Division 01,Medium,Low,,Medium,Very low,,Low,Medium,High,High,Medium,Synthetic,17856
SYN000064,Synthetic Region 003,Synthetic Division 01,Low,Low,,Low,Very low,,Very low,Low,Medium,High,High,Synthetic,70187
SYN000065,Synthetic Region 003,Synthetic Division 01,High,High,,Medium,High,,Very low,Medium,Very low,Low,Very high,Synthetic,70188
SYN000066,Synthetic Region 003,Synthetic Division 01,Very low,Very low,Very low,High,Low,,,Low,High,High,Very high,Synthetic,17756
SYN000067,Synthetic Region 003,Synthetic Division 01,Very low,,,Medium,Very high,,,Very low,Low,Low,Low,Synthetic,72838
SYN000068,Synthetic Region 003,Synthetic Division 01,High,Medium,,Medium,Very low,Medium,,Medium,Medium,Very high,High,Synthetic,17614
SYN000069,Synthetic Region 003,Synthetic Division 01,Very high,Medium,Very low,Low,Very low,Very low,,Very low,High,High,High,Synthetic,17904
SYN000070,Synthetic Region 003,Synthetic Division 01,Very low,,,,High,,,,Medium,Very low,Low,Synthetic,72816
SYN000071,Synthetic Region 003,Synthetic Division 01,Low,Low,Low,Medium,High,Medium,,Very high,Medium,Low,Very high,Synthetic,17870
SYN000072,Synthetic Region 003,Synthetic Division 01,,Low,,Medium,Low,Low,Low,High,Medium,Very high,High,Synthetic,17809
SYN000073,Synthetic Region 003,Synthetic Division 01,Very low,High,,Medium,High,,,Very low,High,High,Very high,Synthetic,17948
SYN000074,Synthetic Region 003,Synthetic Division 01,High,Medium,Very low,Low,Very low,Low,,Low,High,Medium,High,Synthetic,17925
SYN000075,Synthetic Region 003,Synthetic Division 01,High,Low,,High,Very low,,Very low,Medium,Medium,Very high,High,Synthetic,70115
SYN000076,Synthetic Region 004,Synthetic Division 01,Low,Very low,,Medium,Low,,,Medium,High,High,Medium,Synthetic,17680
SYN000077,Synthetic Region 004,Synthetic Division 01,High,Medium,Medium,Medium,Very low,High,,Very high,Low,High,Very high,Synthetic,17878
SYN000078,Synthetic Region 004,Synthetic Division 01,Low,Low,,High,Low,Low,,Low,Medium,High,High,Synthetic,17739
SYN000079,Synthetic Region 004,Synthetic Division 01,Medium,Very low,Medium,Medium,Medium,Very low,,High,Medium,Very high,Medium,Synthetic,17773
SYN000080,Synthetic Region 004,Synthetic Division 01,Low,Low,Medium,Low,Low,,,Low,Medium,Very high,High,Synthetic,70113
SYN000081,Synthetic Region 004,Synthetic Division 01,High,Low,Very low,Medium,Low,,,Medium,High,Medium,Medium,Synthetic,17853
SYN000082,Synthetic Region 004,Synthetic Division 01,Very low,Very low,,Medium,Very low,,Very low,Medium,High,Medium,High,Synthetic,70177
SYN000083,Synthetic Region 004,Synthetic Division 01,Medium,,,,Medium,,Low,,Medium,,,Synthetic,72850
SYN000084,Synthetic Region 004,Synthetic Division 01,Low,Very low,,Medium,Very low,,,Very low,High,High,High,Synthetic,17839
SYN000085,Synthetic Region 004,Synthetic Division 01,Very low,Medium,Very low,Medium,Medium,Low,,High,Very low,High,Medium,Synthetic,17709
SYN000086,Synthetic Region 004,Synthetic Division 01,Very low,Low,Low,Low,High,,,High,Medium,Medium,Medium,Synthetic,17689
SYN000087,Synthetic Region 004,Synthetic Division 01,Low,Very low,,High,Medium,,,Medium,Medium,Medium,High,Synthetic,70160
SYN000088,Synthetic Region 004,Synthetic Division 01,High,Very low,,Low,Low,,,Very low,High,High,High,Synthetic,17618
SYN000089,Synthetic Region 004,Synthetic Division 01,Medium,Medium,,Low,Very low,,,Very low,Medium,High,High,Synthetic,17721
SYN000090,Synthetic Region 004,Synthetic Division 01,High,Low,,Medium,Very low,,Very low,Very low,High,High,Medium,Synthetic,17611
SYN000091,Synthetic Region 004,Synthetic Division 01,Very low,Low,High,High,High,Medium,,Medium,Low,High,Very high,Synthetic,17701
SYN000092,Synthetic Region 004,Synthetic Division 01,Very low,Medium,High,Medium,Medium,Medium,Very low,Medium,Medium,High,High,Synthetic,70183
SYN000093,Synthetic Region 004,Synthetic Division 01,Very low,Low,Very low,Medium,Low,,,Low,High,High,High,Synthetic,17860
SYN000094,Synthetic Region 004,Synthetic Division 01,Low,High,Medium,Medium,High,Very low,,Medium,Medium,Medium,Very high,Synthetic,17797
SYN000095,Synthetic Region 004,Synthetic Division 01,Very low,,,Low,High,,,Very low,High,Low,Medium,Synthetic,72809
SYN000096,Synthetic Region 004,Synthetic Division 01,Medium,Medium,,Medium,Very low,,,Low,High,High,High,Synthetic,17598
SYN000097,Synthetic Region 004,Synthetic Division 01,High,Low,Very low,Medium,Very low,,,Medium,High,High,High,Synthetic,17915
SYN000098,Synthetic Region 004,Synthetic Division 01,Low,Very low,,Medium,Very low,,,Low,Medium,Very high,High,Synthetic,70273
SYN000099,Synthetic Region 004,Synthetic Division 01,Very high,Medium,Medium,Low,Low,Medium,,Very low,High,High,Very high,Synthetic,70132
SYN000100,Synthetic Region 004,Synthetic Division 01,High,Medium,,Medium,Very low,Low,Medium,Very low,High,High,Medium,Synthetic,17619
